  PID TTY          TIME CMD
    1 ?        00:02:29 systemd
    2 ?        00:00:00 kthreadd
    3 ?        00:00:00 ksoftirqd/0
    5 ?        00:00:00 kworker/0:0H
    7 ?        00:11:43 rcu_sched
    8 ?        00:00:00 rcu_bh
    9 ?        00:07:28 rcuos/0
   10 ?        00:00:00 rcuob/0
   11 ?        00:00:00 migration/0
   12 ?        00:00:02 watchdog/0
   13 ?        00:00:02 watchdog/1
   14 ?        00:00:00 migration/1
   15 ?        00:00:00 ksoftirqd/1
   17 ?        00:00:00 kworker/1:0H
   18 ?        00:00:26 rcuos/1
   19 ?        00:00:00 rcuob/1
   20 ?        00:00:02 watchdog/2
   21 ?        00:00:00 migration/2
   22 ?        00:00:00 ksoftirqd/2
   24 ?        00:00:00 kworker/2:0H
   25 ?        00:00:37 rcuos/2
   26 ?        00:00:00 rcuob/2
   27 ?        00:00:02 watchdog/3
   28 ?        00:00:00 migration/3
   29 ?        00:00:00 ksoftirqd/3
   31 ?        00:00:00 kworker/3:0H
   32 ?        00:00:39 rcuos/3
   33 ?        00:00:00 rcuob/3
   34 ?        00:00:02 watchdog/4
   35 ?        00:00:00 migration/4
   36 ?        00:00:00 ksoftirqd/4
   38 ?        00:00:00 kworker/4:0H
   39 ?        00:00:27 rcuos/4
   40 ?        00:00:00 rcuob/4
   41 ?        00:00:02 watchdog/5
   42 ?        00:00:00 migration/5
   43 ?        00:00:00 ksoftirqd/5
   45 ?        00:00:00 kworker/5:0H
   46 ?        00:04:02 rcuos/5
   47 ?        00:00:00 rcuob/5
   48 ?        00:00:02 watchdog/6
   49 ?        00:00:00 migration/6
   50 ?        00:00:00 ksoftirqd/6
   52 ?        00:00:00 kworker/6:0H
   53 ?        00:00:51 rcuos/6
   54 ?        00:00:00 rcuob/6
   55 ?        00:00:02 watchdog/7
   56 ?        00:00:00 migration/7
   57 ?        00:00:00 ksoftirqd/7
   59 ?        00:00:00 kworker/7:0H
   60 ?        00:00:33 rcuos/7
   61 ?        00:00:00 rcuob/7
   62 ?        00:00:02 watchdog/8
   63 ?        00:00:00 migration/8
   64 ?        00:00:00 ksoftirqd/8
   66 ?        00:00:00 kworker/8:0H
   67 ?        00:05:37 rcuos/8
   68 ?        00:00:00 rcuob/8
   69 ?        00:00:02 watchdog/9
   70 ?        00:00:00 migration/9
   71 ?        00:00:00 ksoftirqd/9
   73 ?        00:00:00 kworker/9:0H
   74 ?        00:00:45 rcuos/9
   75 ?        00:00:00 rcuob/9
   76 ?        00:00:02 watchdog/10
   77 ?        00:00:00 migration/10
   78 ?        00:00:00 ksoftirqd/10
   80 ?        00:00:00 kworker/10:0H
   81 ?        00:00:59 rcuos/10
   82 ?        00:00:00 rcuob/10
   83 ?        00:00:02 watchdog/11
   84 ?        00:00:00 migration/11
